Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Enormous Energy Blade, B, U, 143645, 7.56, 15565, 11.39, 5813, 50.5, 905, 46.6, 1495, 47.3, 2400, 47.0, 3416, 53.0, -6.0
Go-Shintai of Hidden Cruelty, B, U, 84135, 3.68, 17476, 4.90, 66298, 53.2, 10855, 51.7, 19901, 56.0, 30756, 54.5, 35639, 52.1, 2.3
Gravelighter, B, U, 77655, 3.30, 20945, 4.22, 110225, 56.9, 18999, 56.8, 28941, 59.5, 47940, 58.5, 62409, 55.7, 2.7
Hidetsugu Devouring Chaos, BR, R, 11812, 1.63, 7646, 1.60, 40279, 54.7, 6748, 54.6, 10664, 58.5, 17412, 57.0, 22924, 53.1, 3.9
Inkrise Infiltrator, B, C, 301429, 5.60, 46878, 8.08, 194113, 56.3, 34418, 55.8, 50313, 57.9, 84731, 57.0, 109466, 55.8, 1.2
Invoke Despair, B, R, 20468, 2.64, 7142, 2.85, 30277, 56.2, 4885, 56.1, 8341, 60.2, 13226, 58.7, 17065, 54.3, 4.4
Junji the Midnight Sky, B, M, 4314, 1.17, 3794, 1.16, 21528, 57.7, 3610, 61.4, 6092, 65.8, 9702, 64.1, 11880, 52.5, 11.7
Kaito's Pursuit, B, C, 353913, 8.35, 40395, 12.13, 21661, 54.5, 3568, 52.3, 5858, 55.5, 9426, 54.3, 12245, 54.5, -0.2
Kami of Restless Shadows, B, C, 348146, 7.74, 42346, 11.19, 46666, 54.9, 7071, 52.2, 12834, 57.0, 19905, 55.3, 26838, 54.7, 0.6
Kami of Terrible Secrets, B, C, 312274, 5.80, 62251, 7.91, 240078, 56.5, 39232, 55.0, 67335, 59.2, 106567, 57.7, 133676, 55.6, 2.0
Leech Gauntlet, B, U, 80621, 3.42, 20115, 4.42, 103493, 55.9, 18475, 57.3, 26700, 56.4, 45175, 56.8, 58399, 55.1, 1.7
Lethal Exploit, B, C, 261839, 4.64, 50280, 6.44, 235659, 56.2, 40534, 55.3, 61591, 57.8, 102125, 56.8, 133609, 55.8, 1.0
Life of Toshiro Umezawa, B, U, 75918, 2.51, 38679, 2.74, 219789, 58.6, 39129, 63.9, 59695, 62.4, 98824, 63.0, 121039, 55.0, 8.0
The Long Reach of Night, B, U, 88685, 2.88, 33450, 3.27, 177916, 56.6, 29935, 57.9, 50264, 59.9, 80199, 59.2, 97797, 54.6, 4.6
Malicious Malfunction, B, U, 122990, 5.82, 13265, 8.91, 16885, 51.6, 2846, 49.9, 4619, 51.9, 7465, 51.1, 9430, 52.0, -0.9
March of Wretched Sorrow, B, R, 13888, 1.82, 8012, 1.84, 43293, 56.0, 7173, 55.5, 11802, 59.7, 18975, 58.1, 24341, 54.3, 3.9
Mukotai Ambusher, B, C, 275171, 4.86, 51111, 6.85, 247637, 56.7, 41389, 56.2, 66577, 58.5, 107966, 57.6, 139781, 56.0, 1.6
Mukotai Soulripper, B, R, 18033, 2.39, 6052, 2.61, 28342, 55.6, 4901, 58.5, 7266, 55.4, 12167, 56.6, 16190, 54.9, 1.8
Nashi Moon Sage's Scion, B, M, 5300, 1.44, 3425, 1.43, 17252, 54.4, 2986, 55.0, 4631, 55.2, 7617, 55.1, 9640, 53.8, 1.3
Nezumi Bladeblesser, B, C, 316363, 5.98, 43102, 8.86, 147036, 55.6, 24824, 54.5, 38583, 56.1, 63407, 55.5, 83759, 55.7, -0.2
Nezumi Prowler, B, U, 76850, 3.24, 21733, 4.11, 119269, 56.9, 20894, 56.4, 31290, 59.4, 52184, 58.2, 67131, 56.0, 2.2
Okiba Reckoner Raid, B, C, 226692, 3.75, 80592, 4.34, 438396, 58.4, 78565, 63.6, 116026, 58.8, 194591, 60.7, 243941, 56.6, 4.1
Okiba Salvage, B, U, 130871, 6.22, 16179, 9.41, 23976, 52.1, 3631, 47.9, 6649, 54.7, 10280, 52.3, 13711, 52.0, 0.2
Reckoner Shakedown, B, C, 358631, 8.86, 36292, 12.91, 4110, 47.5, 644, 44.3, 1031, 47.3, 1675, 46.1, 2440, 48.5, -2.3
Reckoner's Bargain, B, C, 350227, 7.93, 41317, 11.59, 40359, 53.8, 6471, 50.2, 10361, 54.6, 16832, 52.9, 23547, 54.4, -1.5
Return to Action, B, C, 349874, 7.77, 46520, 11.17, 60576, 55.3, 9406, 52.9, 16080, 57.2, 25486, 55.6, 35114, 55.2, 0.4
Soul Transfer, B, R, 12558, 1.68, 7840, 1.67, 42602, 56.6, 7171, 55.7, 11736, 62.2, 18907, 59.8, 23720, 54.2, 5.6
Tatsunari Toad Rider, UBG, R, 10228, 1.42, 8262, 1.41, 47600, 58.3, 8318, 65.7, 13320, 63.9, 21638, 64.6, 25993, 53.1, 11.5
Tribute to Horobi, B, R, 13928, 1.86, 7971, 1.90, 42051, 55.8, 7659, 62.2, 11126, 54.5, 18785, 57.6, 23300, 54.4, 3.3
Twisted Embrace, B, C, 157191, 2.85, 55525, 3.44, 305598, 56.8, 50090, 56.3, 92217, 60.5, 142307, 59.0, 163398, 54.9, 4.1
